"Domain","Days Allocated","Days","Importance","Evidence","Role Specificity","Unresolved Gap"
"ثقافة العافية الجسدية / physical wellbeing literacy","6","11 12 14 20 48 94","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Movement alternatives for disability, heat, safety, space, illness, and unpaid labor require local testing."
"فهم الضغط / stress","8","3 11 15 23 48 78 86 95","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Stress literacy needs clear help thresholds and non-individualized structural framing."
"المرونة النفسية / resilience","9","19 49 50 82 84 90 96 99 100","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Avoidance of adversity romanticization and Egyptian protective-factor validation remain required."
"التعامل مع الفشل / failure","4","49 81 82 90","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Safe training errors are now separated from loss and injustice, but adult Egyptian transfer, accountability, and trauma review remain pending."
"تحمل عدم اليقين / uncertainty","6","22 25 27 30 83 90","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Most evidence is clinical or laboratory-based and cannot define a self-guided dose."
"الحدود الصحية / boundaries","10","55 56 57 58 60 61 62 69 70 98","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Egyptian family, housing, finance, gender, workplace power, and retaliation scenarios need review."
"التواصل / communication","11","53 54 55 56 59 60 63 77 85 93 98","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Transfer from specialized programs to ordinary self-guided communication is limited."
"الاستماع / listening","5","53 54 60 65 98","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Listening-specific outcomes, accessibility, and unsafe disclosure boundaries are under-researched."
"إدارة الخلاف / conflict","6","62 63 64 65 70 98","CRITICAL_FOUNDATION","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Conflict de-escalation, power imbalance, and non-confrontation alternatives require dedicated evidence."
"إصلاح العلاقة بعد الضرر / repair","7","37 66 67 68 69 70 98","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Repair must remain distinct from forgiveness, reconciliation, contact, and restored trust in local scenarios."
"بناء الثقة / trust","3","67 68 70","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Trust formation and justified mistrust need direct evidence across family, services, work, and digital contexts."
"مهارات العلاقات / relationships","3","51 58 60","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Everyday Egyptian adult relationship structures and interdependence need qualitative work."
"مهارات الصداقة / friendship","2","52 88","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Evidence is mostly associational and student-weighted; Egyptian formation, maintenance, endings, reciprocity, and adult-life transitions need direct research."
"فهم الأسرة / family","3","57 58 88","IMPORTANT","PARTIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Direct caregiving evidence is narrow and clinical; privacy, hierarchy, violence, family diversity, consent, and everyday communication need broader Egyptian study."
"فهم الغضب وتنظيمه / anger","3","33 35 40","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Violence-risk escalation and locally safe lower-arousal options need professional review."
"فهم الحسد / envy","2","38 40","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Envy is covered mainly in social-media comparison research and needs broader relational and cultural evidence."
"إدارة المقارنة / comparison","4","26 38 52 72","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Offline comparison, useful benchmarking, class, status, gender, and family expectations need Egyptian evidence."
"فهم الوحدة والتواصل / loneliness","1","51","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Intervention choice, direction of causality, solitude distinction, and Egyptian adult evidence remain limited."
"طلب المساعدة / help seeking","14","36 59 60 62 78 84 85 86 87 88 90 95 98 100","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Current verified Egyptian pathways and observed service use remain incomplete."
"إدارة الوقت الواقعية / time","6","18 20 48 74 80 94","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Causal training evidence and realistic Egyptian practice under care, transport, informal work, fatigue, and scarcity remain weak."
"السلوك المالي / money behavior","3","71 72 80","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Current Egyptian inflation, debt, informal finance, consumer protection, and no-income alternatives require research."
"مهارات الدراسة / study","4","73 74 75 80","IMPORTANT","PARTIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Evidence is mainly classroom-based and needs adult and non-student transfer."
"مهارات العمل / work","5","6 76 77 78 80","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Egyptian sectors, informal employment, job insecurity, harassment, shifts, and organizational responsibility need study."
"المعنى والغاية / purpose","4","89 90 99 100","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Avoiding one-grand-purpose pressure and testing plural values and roles in Egypt remain required."
"المشاركة المجتمعية / community","2","79 80","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Review quality is poor and burden, exclusion, safety, unpaid labor, and local opportunities need study."
"التفكير الأخلاقي / ethics","7","5 28 29 79 81 97 100","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Evidence comes from specialized science instruction; pluralistic Egyptian everyday ethics and behavior transfer remain untested."
"المسؤولية المدنية / civic responsibility","1","79","IMPORTANT","PARTIAL","UNIVERSAL_WITH_EVERYDAY_ROLE_APPLICATION","Civic responsibility, rights, collective action, Egyptian safety, political neutrality, and structural limits require dedicated local review."
