search_id,date,language,domain,query,purpose,status,notes
Q-0013,2026-08-13,en,sleep,sleep hygiene definition systematic review adults components,definition and communication quality,SCREENED,Large bibliographic review found substantial inconsistency
Q-0014,2026-08-13,en,sleep,sleep hygiene education insomnia systematic review CBT-I,treatment boundary and counterevidence,SCREENED,Sleep education less effective than CBT-I and implementation gaps remain
Q-0015,2026-08-13,en,physical-activity,site:who.int physical activity sedentary behaviour guidelines adults disability,professional guidance,SCREENED,Global guideline and subgroup qualifications found
Q-0016,2026-08-13,en,social-connection,site:who.int social connection loneliness report 2025,public-health context,SCREENED,WHO commission report found
Q-0017,2026-08-13,en,social-connection,social connection loneliness intervention systematic review objective perceived quality,intervention evidence and construct distinction,SCREENED,Controlled-trial meta-analysis distinguishes contact from perceived quality
Q-0018,2026-08-13,en,stress,mindfulness-based programmes nonclinical adults systematic review active control heterogeneity,stress practice and counterevidence,SCREENED,Large preregistered review found no superiority to specific active controls
Q-0019,2026-08-13,en,resilience,individual resilience interventions adults systematic review methodological quality,definition and intervention evidence,SCREENED,Heterogeneity fair quality and underpowered samples block strong claims
Q-0020,2026-08-13,en,uncertainty,intolerance of uncertainty treatment systematic review meta-analysis adults,mechanism and clinical boundary,SCREENED,GAD treatment evidence found; general lesson treatment claim prohibited
Q-0021,2026-08-13,en,problem-solving,problem-solving therapy systematic review meta-analysis primary care counterevidence,treatment evidence and transfer boundary,SCREENED,One broad synthesis estimate crossed no effect
Q-0022,2026-08-13,en,decision-making,debiasing decision making systematic review transfer limitations,decision skill evidence,SCREENED,Partial success with student dominance and transfer uncertainty
Q-0023,2026-08-13,en,egypt-context,Egypt mental health literacy help-seeking undergraduates national cross-sectional,direct Egyptian evidence,SCREENED,Ten-university study found with explicit sampling and causal limits
Q-0024,2026-08-13,en,egypt-context,Egypt mental health care utilization barriers undergraduates multi-centre,direct barriers and actual-use context,SCREENED,Self-reliance stigma attitudes and instrumental barriers studied
Q-0025,2026-08-13,en,egypt-digital,Electronic Mental Health Egyptian psychiatry psychiatrists survey barriers,digital feasibility and provider perspective,SCREENED,Provider enthusiasm found with response and user-evidence limits
Q-0026,2026-08-13,en,arab-context,Arab mental health help-seeking systematic review privacy trust family logistics,regional synthesis and counterevidence,SCREENED,Registered narrative synthesis distinguishes barriers and notes behavior-data gap
Q-0027,2026-08-13,ar,egypt-context,مصر الصحة النفسية طلب المساعدة الوصمة دراسة جامعة,Arabic discovery and terminology,SCREENED,Located Egyptian university and institutional records; quality varies and each requires appraisal
Q-0028,2026-08-13,en,relationships,couple communication relationship education meta-analysis modest effect,communication evidence and limits,SCREENED,Modest program effects with measure and follow-up differences
Q-0029,2026-08-13,en,boundaries,assertiveness communication training systematic review sustained behavior safety,boundary skill transfer,SCREENED,Occupational simulation evidence found; cross-context safety transfer blocked
Q-0030,2026-08-13,en,relationship-safety,relationship education aggression meta-analysis randomized pre-post,conflict versus violence boundary,SCREENED,RCT estimate not significant and generic conflict advice unsafe as violence response
Q-0031,2026-08-13,en,relationship-safety,site:who.int intimate partner violence clinical handbook safety planning,survivor-centered professional guidance,SCREENED,WHO first-line and safety guidance found
Q-0032,2026-08-13,en,repair,forgiveness intervention systematic review meta-analysis interpersonal hurt,repair evidence and autonomy boundary,SCREENED,Therapy effects found; forgiveness reconciliation and contact must remain separate
Q-0033,2026-08-13,en,digital-wellbeing,digital social media detox systematic review meta-analysis wellbeing stress,digital-balance intervention evidence,SCREENED,Small selective effect and several null outcomes found
Q-0034,2026-08-13,en,misinformation,misinformation inoculation systematic review meta-analysis credibility sharing discernment,evidence literacy intervention,SCREENED,Small discernment effects but no overall sharing-intention effect
Q-0035,2026-08-13,en,misinformation,inoculation accuracy prompting combination counterevidence real headlines,component counterevidence and conflicts,SCREENED,Inoculation alone failed truth discernment in five studies; conflicts recorded
Q-0036,2026-08-13,en,ai-safety,site:who.int generative AI health ethics governance large multimodal models,professional AI boundary guidance,SCREENED,WHO governance guidance found; no specific product validation inferred
Q-0037,2026-08-13,en,financial-capability,financial capability interventions adults systematic review behavior outcomes,financial skill evidence and structural boundary,SCREENED,Strong review found insufficient comparable evidence
Q-0038,2026-08-13,en,work,organizational interventions occupational burnout exhaustion meta-analysis,individual versus structural responsibility,SCREENED,Small effect with very low certainty and organizational focus
Q-0039,2026-08-13,en,purpose,meaning in life interventions randomized meta-analysis active controls,meaning and purpose intervention evidence,SCREENED,Heterogeneous estimates strongly affected by control type
Q-0040,2026-08-13,en,community,volunteering wellbeing umbrella review quality causal limitations,community participation evidence and burden,SCREENED,Poor review quality and older US sample dominance found
Q-0041,2026-08-13,en,accessibility,site:w3.org WCAG 2.2 cognitive clear content predictable errors,technical accessibility baseline,SCREENED,WCAG baseline plus cognitive supplemental guidance found
Q-0042,2026-08-13,en,accessibility,cognitive disability web accessibility systematic review lived experience co-design,evidence and participation requirement,SCREENED,Rapid evidence assessment confirms persistent barriers and co-design need
Q-0043,2026-08-13,en,digital-health-literacy,digital health literacy interventions adults systematic review interactive training,equity and delivery evidence,SCREENED,Promising interactive support but population transfer and digital divide remain
Q-0044,2026-08-13,en,learning,retrieval practice systematic review classroom learning feedback non-WEIRD,retention evidence and cultural limits,SCREENED,Applied review found broad retention benefits but only six percent of experiments were non-WEIRD
Q-0045,2026-08-13,en,learning-transfer,test enhanced learning transfer meta-analysis application inference limitations,transfer rather than recall alone,SCREENED,Moderate average transfer depended on congruence elaboration and initial success; bias-adjusted transfer can disappear
Q-0046,2026-08-13,en,spacing,distributed practice classroom meta-analysis retention interval,spaced review architecture,SCREENED,Moderate classroom benefit found but too few studies for a complete moderator analysis or universal schedule
Q-0047,2026-08-13,en,microlearning,microlearning self care systematic review knowledge behavior risk of bias,lesson length and behavior counterevidence,SCREENED,Cognitive outcomes were more common than behavior change and nearly all studies had moderate-to-high bias risk
Q-0048,2026-08-13,en,engagement,smartphone mental health attrition adherence systematic meta analytic review,dropout measurement and nonshaming return,SCREENED,Attrition and declining use were common and no baseline participant factor reliably predicted leaving
Q-0049,2026-08-13,en,cultural-adaptation,culturally adapted digital mental health non-WEIRD dropout adherence systematic review,adaptation depth and engagement,SCREENED,Participatory adaptation was associated with better retention than translation-only adaptation but causation is unproven
Q-0050,2026-08-13,en,comprehension,teach-back systematic review implementation impacts health literacy,nonjudgmental comprehension checks,SCREENED,Clinical teach-back supports a comprehension principle but self-guided Motazen cannot claim clinician-delivered equivalence
Q-0051,2026-08-13,en,emotion-labeling,affect labeling emotion regulation review timing intensity limitations,emotional vocabulary mechanism and harms,SCREENED,Effects varied by task and timing; self-generated labels can initially increase affect and mechanisms remain uncertain
Q-0052,2026-08-13,en,emotion-granularity,emotion differentiation behavioral dysregulation meta-analysis clinical nonclinical,association and causal boundary,SCREENED,Small inverse association found but teaching labels was not tested as a universal causal intervention
Q-0053,2026-08-13,en,rumination,repetitive negative thinking cognitive control meta-analysis mechanisms,avoid broad deficit story,SCREENED,Only difficulty discarding irrelevant working-memory material showed a small association; other control functions did not
Q-0054,2026-08-13,en,rumination-intervention,worry rumination psychological intervention meta-analysis health behavior professional delivery,treatment boundary and transfer,SCREENED,Cognitive effects exceeded behavior and physical outcomes; professional delivery was associated with larger effects
Q-0055,2026-08-13,en,decision-stress,stress decisions under uncertainty meta-analysis risk reward context,acute stress and decision limits,SCREENED,Small average disadvantageous or risk-seeking shift depended on decision situation and stressor type
Q-0056,2026-08-13,en,decision-sleep,sleep deprivation risky decision making systematic review healthy adults,loss of sleep and decision limits,SCREENED,Effects were complex and could be riskier or more conservative depending on task framing duration timing and other moderators
Q-0057,2026-08-13,en,decision-support,Ottawa decision support systematic review information overload emotion family timing,practical decisional needs,SCREENED,Needs extend beyond option count to values support roles timing expectations emotions and information quality
Q-0058,2026-08-13,en,choice-overload,choice overload meta-analysis too many options decision avoidance satisfaction,analysis-paralysis counterevidence,SCREENED,Mean effect across published and unpublished experiments was near zero with substantial contextual variation
Q-0059,2026-08-13,en,sleep-duration,AASM SRS adult sleep duration consensus individual variation,professional duration guidance and limits,SCREENED,At least seven hours is population guidance for healthy adults 18 to 60 rather than a rigid individual diagnosis
Q-0060,2026-08-13,en,sleep-caffeine,caffeine subsequent sleep systematic review meta-analysis timing dose,component evidence and personalization,SCREENED,Caffeine reduced sleep on average but timing estimates depend on dose metabolism medication age and context
Q-0061,2026-08-13,en,sleep-screens,screen time sleep outcomes cohort systematic review meta-analysis adults,association causal boundary,SCREENED,Longer screen exposure tracked poorer sleep outcomes but type timing displacement and reverse causation remain unresolved
Q-0062,2026-08-13,en,sleep-practice,NHLBI healthy sleep habits shift workers light naps caffeine when doctor,free practical options and professional boundary,SCREENED,Government guidance includes contextual changes and explicit shift-work escalation rather than discipline-only framing
Q-0063,2026-08-13,en,motivation,self determination motivation health behavior techniques meta-analysis autonomy competence relatedness,motivation support mechanisms,SCREENED,Need-supportive combinations improved motivation mediators but individual techniques had limited independent effects
Q-0064,2026-08-13,en,motivation-behavior,self determination theory health behavior randomized controlled trials meta-analysis mediation,behavior effect and causal limits,SCREENED,Randomized meta-analysis found only a small average behavioral effect and rejected motivation as a guaranteed switch
Q-0065,2026-08-13,en,attention-boundary,NICE NG87 adult ADHD referral diagnosis childhood impairment multiple settings rating scales,ordinary distraction versus professional assessment,SCREENED,Diagnosis requires persistent developmental history impairment across settings differential assessment and trained specialist rather than a quiz
Q-0066,2026-08-13,en,digital-attention,smartphone presence cognition systematic review meta-analysis brain drain,technology myth counterevidence,SCREENED,Only working memory showed a pooled negative effect while other cognitive outcomes were null and methods were weak
Q-0067,2026-08-13,en,digital-intervention,digital self control interventions media multitasking systematic review blocking visualization,effectiveness harms and feasibility,SCREENED,Intervention evidence was sparse and inconsistent with visualization alone often ineffective and blocking dependent on design
Q-0068,2026-08-13,en,social-comparison,social comparison envy social media critical review wellbeing heterogeneous reciprocal,comparison effects and limits,SCREENED,Older negative findings are challenged by positive conditional reciprocal and person-specific evidence
Q-0069,2026-08-13,en,social-media-wellbeing,social media use wellbeing umbrella review active passive time spent,avoid universal screen-time explanation,SCREENED,Twenty-seven reviews reached disagreeing conclusions from overlapping evidence and coarse exposure measures
Q-0070,2026-08-13,en,anger-regulation,anger emotion regulation strategies meta-analysis avoidance acceptance reappraisal rumination suppression,strategy associations and cultural moderators,SCREENED,Associations were consistent in direction but highly heterogeneous and not proof of a universal intervention
Q-0071,2026-08-13,en,anger-arousal,anger management arousal decreasing increasing venting meta-analysis aggression,low-risk calming and myth audit,SCREENED,Lower-arousal activities reduced anger on average while venting and arousal-increasing activities were ineffective overall
Q-0072,2026-08-13,en,egypt-public-health,Egypt STEPS 2017 adults physical activity diet tobacco representative survey,direct nonstudent national context,SCREENED,Representative adult survey gives public-health context and large sex differences but is historical and not a Motazen outcome study
Q-0073,2026-08-13,en,egypt-literacy-adults,Egypt mental health literacy adults adolescents outpatient Arabic validated stigma help seeking,direct nonstudent adult context,SCREENED,Clinic sample found age education urban residence employment and sex differences but cannot represent all Egyptian adults
Q-0074,2026-08-13,en,egypt-household,National Survey Prevalence Mental Disorders Egypt adults household five regions MINI Plus,direct adult historical context,SCREENED,Large door-to-door diagnostic survey establishes historical burden and variation but is too old for current prevalence claims
Q-0075,2026-08-13,en,meditation-harms,meditation adverse events systematic review adults anxiety dissociation trauma,practice harms and stop rules,SCREENED,Adverse experiences occur across study types but estimates vary greatly and individual prediction remains weak
Q-0076,2026-08-13,en,mindfulness-evidence,mindfulness interventions systematic review meta analyses randomized trials adverse reporting,benefit calibration and missing harms,SCREENED,Effects vary by population comparator and outcome while adverse-event reporting is commonly absent or inconsistent
Q-0077,2026-08-13,ar,egypt-crisis,site:mohp.gov.eg الأمانة العامة للصحة النفسية الخط الساخن مصر,current owner-controlled crisis resources,NO_OWNER_CONFIRMATION,Search found strategy documents but no sufficiently current owner page confirming purpose hours and operational status
Q-0078,2026-08-13,en,egypt-crisis,WHO EMRO Egypt mental health hotline emergency current,secondary directory cross-check,SCREENED_HOLD,WHO regional directory lists candidate services but lacks per-resource freshness and cannot authorize product publication
Q-0079,2026-08-13,en,egypt-lived-experience,Egypt mental health recovery adults qualitative phenomenological spirituality relationships hope,service-user language and recovery plurality,SCREENED,Small three-governorate study centers personal functional relational and spiritual accounts without representing all Egyptians
Q-0080,2026-08-13,en,egypt-religion-help,traditional healers service pathway OCD Egypt stigma religion trust accessibility,avoid faith versus care binary,SCREENED,Narrow clinical sample shows multiple interacting pathway factors and cannot support generalizations about Egyptian religion
Q-0081,2026-08-13,en,identity,adult identity development wellbeing systematic review exploration commitment,identity definition and evidence limits,SCREENED,Only ten studies met criteria and links between identity processes and wellbeing remained unclear
Q-0082,2026-08-13,en,friendship,adult friendship wellbeing systematic review quality maintenance autonomy support,friendship capability and counterevidence,SCREENED,Quality and supportive maintenance were associated with wellbeing but evidence was student weighted and mostly cross sectional
Q-0083,2026-08-13,en,time,time management meta-analysis wellbeing performance privilege care work,realistic time skill and structural limits,SCREENED,Moderate associations favor wellbeing but intervention opacity cross sectional evidence and privilege prevent productivity blame
Q-0084,2026-08-13,en,civic,civic engagement mental health young adults systematic review positive negative null,moral and safety boundary,SCREENED,Relationships were heterogeneous by activity duration directionality adversity and marginalization
Q-0085,2026-08-13,en,ethics,ethics instruction meta-analysis ethical decision making knowledge practice field specificity,ethical reasoning pedagogy and limits,SCREENED,Specialized instruction improved selected outcomes but cannot define universal morality or prove real-world behavior
Q-0086,2026-08-13,en,self-respect,self esteem interventions adults systematic review meta analysis contingent self worth,self-respect definition intervention effect and limits,SCREENED,Adult interventions showed a modest heterogeneous effect on self-esteem measures but not proof of dignity or broad wellbeing transfer
Q-0087,2026-08-13,en,responsibility,personal responsibility victim blaming structural determinants health behavior agency shame,responsibility wording and unintended harm,SCREENED,Individual responsibility frames can hide social causes and produce stigma guilt shame or blame without one established safe universal frame
Q-0088,2026-08-13,en,failure,error management training meta analysis learning from errors feedback transfer,safe error learning mechanism,SCREENED,Controlled skill training favored active exploration feedback and error encouragement but cannot generalize to trauma injustice or irreversible loss
Q-0089,2026-08-13,en,failure-counterevidence,growth mindset intervention academic achievement systematic review meta analysis quality bias,limits of generic positive reframing,SCREENED,Higher-quality and bias-corrected evidence did not show a reliable academic achievement benefit
Q-0090,2026-08-13,en,egypt-family,Egypt family caregiver burden depression anxiety Cairo study,local caregiving load and gender context,SCREENED,A single Cairo clinical sample found substantial burden and distress with women and daughters predominant but cannot represent Egyptian families
Q-0091,2026-08-13,en,arab-family,Arab world culturally adapted family interventions systematic review communication burden,regional adaptation evidence and limits,SCREENED,Only six narrow clinical studies were found and quality was generally poor despite preliminary feasibility and acceptability
