priority_rank,track_id,name_ar,category,population_size,need,evidence_availability,potential_benefit,risk,content_overlap,distinctiveness,egyptian_relevance,professional_review_requirement,implementation_cost,composite_score,scoring_status,rationale
28,TRACK-EDU-007,مدرس متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
29,TRACK-EDU-008,مدرسة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
30,TRACK-EDU-009,مشرف متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
31,TRACK-EDU-010,مشرفة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
32,TRACK-EDU-011,مرشد متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
33,TRACK-EDU-012,مرشدة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
34,TRACK-FAMILY-001,ابن متزن,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
35,TRACK-FAMILY-002,ابنة متزنة,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
36,TRACK-FAMILY-003,زوج متزن,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
37,TRACK-FAMILY-004,زوجة متزنة,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
38,TRACK-FAMILY-005,خطيب متزن,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
39,TRACK-FAMILY-006,خطيبة متزنة,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
40,TRACK-FAMILY-007,ولي أمر متزن,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
41,TRACK-FAMILY-008,مقدم رعاية متزن,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
42,TRACK-FAMILY-009,مقدمة رعاية متزنة,family,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
43,TRACK-LIFE-003,مراهق متزن,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
44,TRACK-LIFE-004,مراهقة متزنة,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
45,TRACK-LIFE-005,شاب متزن,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
46,TRACK-LIFE-006,شابة متزنة,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
47,TRACK-LIFE-007,خريج متزن,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
48,TRACK-LIFE-008,خريجة متزنة,life-stage,4,5,3,5,4,3,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
49,TRACK-WORK-001,باحث عن عمل متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
50,TRACK-WORK-002,باحثة عن عمل متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
51,TRACK-WORK-003,موظف متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
52,TRACK-WORK-004,موظفة متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
53,TRACK-WORK-005,مدير متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
54,TRACK-WORK-006,مديرة متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
55,TRACK-WORK-007,قائد متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
56,TRACK-WORK-008,قائدة متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
57,TRACK-WORK-009,صاحب عمل متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
58,TRACK-WORK-010,صاحبة عمل متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
59,TRACK-WORK-011,مستقل متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
60,TRACK-WORK-012,مستقلة متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
61,TRACK-WORK-013,مطور متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
62,TRACK-WORK-014,مطورة متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
63,TRACK-WORK-015,باحث مهني متزن,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
64,TRACK-WORK-016,باحثة مهنية متزنة,work,4,4,4,4,3,4,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
65,TRACK-LIFE-001,طفل متزن,life-stage,4,5,3,5,5,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
66,TRACK-LIFE-002,طفلة متزنة,life-stage,4,5,3,5,5,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
67,TRACK-LIFE-009,كبير سن متزن,life-stage,4,5,3,5,5,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
68,TRACK-LIFE-010,كبيرة سن متزنة,life-stage,4,5,3,5,5,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
69,TRACK-TRANSITION-001,طالب جديد متزن,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
70,TRACK-TRANSITION-002,طالبة جديدة متزنة,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
71,TRACK-TRANSITION-003,خريج جديد متزن,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
72,TRACK-TRANSITION-004,خريجة جديدة متزنة,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
73,TRACK-TRANSITION-005,موظف جديد متزن,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
74,TRACK-TRANSITION-006,موظفة جديدة متزنة,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
75,TRACK-TRANSITION-007,أب جديد متزن,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
76,TRACK-TRANSITION-008,أم جديدة متزنة,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
77,TRACK-TRANSITION-009,شخص ينتقل إلى مدينة جديدة,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
78,TRACK-TRANSITION-010,مقدم رعاية جديد,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
79,TRACK-TRANSITION-012,شخص يغير مساره المهني,life-transition,3,5,3,5,4,3,5,5,5,5,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
80,TRACK-TRANSITION-011,شخص يمر بفقد,life-transition,3,5,3,5,5,3,5,5,5,5,13,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
